sample	species	ML_ID	population1	population2 ML_ID_simple
BOC_3F_30x	D	An.cruziiBocF4	Bocaina	BocainaD BocF4
Boc146_30x	B	An.cruziiBocM2	Bocaina	BocainaB BocM2
CJ4F_30x	C	An.cruziiCajF4	CamposJordao	CamposJordao CajF4
CJ6M_30x	C	An.cruziiCajM6	CamposJordao	CamposJordao CajM6
CJ7M_30x	C	An.cruziiCajM7	CamposJordao	CamposJordao CajM7
CJ9M_30x	C	An.cruziiCajM9	CamposJordao	CamposJordao CajM9
CdoPesq1_1_M_30x	C	An.cruziiIttM1	Itatiaia	Itatiaia IttM1
Guapi2F_30x	A	An.cruziiGuaF2	Guapimirim	Guapimirim GuaF2
Guapi_F_30x	A	An.cruziiGuaF1	Guapimirim	Guapimirim GuaF1
M_lago12_1_30x	C	An.cruziiIttM4	Itatiaia	Itatiaia IttM4
M_lago2_1_30x	C	An.cruziiIttM3	Itatiaia	Itatiaia IttM3
M_lago_11_1_M_30x	C	An.cruziiIttM2	Itatiaia	Itatiaia IttM2
M_lago_8_1_F_30x	C	An.cruziiIttF1	Itatiaia	Itatiaia IttF1
Pcaba1_30x	C	An.cruziiParF1	Paranapiacaba	ParanapiacabaC ParF1
Pcaba2_30x	A	An.cruziiParF2	Paranapiacaba	ParanapiacabaA ParF2
Pcaba3_30x	A	An.cruziiParF3	Paranapiacaba	ParanapiacabaA ParF3
Pcaba4_30x	A	An.cruziiParF4	Paranapiacaba	ParanapiacabaA ParF4
Pcaba5_30x	A	An.cruziiParF5	Paranapiacaba	ParanapiacabaA ParF5
Pousada_1_30x	E	An.cruziiSanF1	SantaTeresa	SantaTeresa SanF1
ResSLBf3_1_M_30x	E	An.cruziiSanM1	SantaTeresa	SantaTeresa SanM1
UCAD10_11_30x	A	An.cruziiFloM2	Florianopolis	Florianopolis FloM2
UCAD13-7m_30x	A	An.cruziiFloM1	Florianopolis	Florianopolis FloM1
UCAD6_2_30x	A	An.cruziiFloM3	Florianopolis	Florianopolis FloM3
UCAD7_5_30x	A	An.cruziiFloF2	Florianopolis	Florianopolis FloF2
boc104_30x	C	An.cruziiBocF1	Bocaina	BocainaC BocF1
boc_140_30x	B	An.cruziiBocF2	Bocaina	BocainaB BocF2
boc160_30x	B	An.cruziiBocM3	Bocaina	BocainaB BocM3
boc56_30x	C	An.cruziiBocM1	Bocaina	BocainaC BocM1
boc66_30x	C	An.cruziiBocM4	Bocaina	BocainaC BocM4
boc85_30x	C	An.cruziiBocM5	Bocaina	BocainaC BocM5
boc86_30x	C	An.cruziiBocM6	Bocaina	BocainaC BocM6
 
